Year,Quarter,V,quarterly_capacity,monthly_capacity
2011,1,3,3,1
2011,1,4,1,1
2011,1,5,2,1
2011,1,7,13,5
2011,1,9,4,2
2011,1,10,2,1
2011,1,14,5,2
2011,1,15,3,1
2011,1,17,2,1
2011,2,5,2,1
2011,2,7,5,2
2011,2,9,6,2
2011,2,10,1,1
2011,2,14,1,1
2011,2,17,1,1
2011,3,3,5,2
2011,3,5,1,1
2011,3,7,17,6
2011,3,9,9,3
2011,3,17,11,4
2011,4,3,2,1
2011,4,7,5,2
2011,4,9,15,5
2011,4,10,1,1
2011,4,15,5,2
2011,4,17,2,1
2012,1,3,5,2
2012,1,7,9,3
2012,1,9,2,1
2012,1,10,2,1
2012,1,13,2,1
2012,1,14,8,3
2012,1,15,10,4
2012,1,16,6,2
2012,1,17,12,4
2012,2,3,1,1
2012,2,5,5,2
2012,2,7,3,1
2012,2,9,1,1
2012,2,10,1,1
2012,2,13,1,1
2012,2,14,10,4
2012,2,15,1,1
2012,2,17,8,3
2012,3,3,2,1
2012,3,5,5,2
2012,3,7,11,4
2012,3,8,3,1
2012,3,9,4,2
2012,3,10,3,1
2012,3,13,4,2
2012,3,14,16,6
2012,3,15,1,1
2012,3,17,5,2
2012,4,3,2,1
2012,4,4,1,1
2012,4,5,4,2
2012,4,7,19,7
2012,4,8,1,1
2012,4,9,5,2
2012,4,10,4,2
2012,4,13,4,2
2012,4,14,20,7
2012,4,15,3,1
2012,4,17,8,3
2013,1,4,1,1
2013,1,5,5,2
2013,1,7,2,1
2013,1,8,1,1
2013,1,9,11,4
2013,1,13,5,2
2013,1,14,6,2
2013,1,15,9,3
2013,1,16,1,1
2013,1,17,2,1
2013,2,3,3,1
2013,2,4,1,1
2013,2,5,5,2
2013,2,7,7,3
2013,2,8,1,1
2013,2,9,4,2
2013,2,10,4,2
2013,2,13,6,2
2013,2,14,11,4
2013,2,15,1,1
2013,2,16,4,2
2013,2,17,3,1
2013,3,3,3,1
2013,3,4,1,1
2013,3,5,2,1
2013,3,7,15,5
2013,3,8,1,1
2013,3,9,10,4
2013,3,10,3,1
2013,3,13,4,2
2013,3,14,8,3
2013,3,15,1,1
2013,3,16,1,1
2013,3,17,3,1
2013,4,3,1,1
2013,4,4,1,1
2013,4,5,5,2
2013,4,7,6,2
2013,4,8,1,1
2013,4,9,2,1
2013,4,10,3,1
2013,4,13,3,1
2013,4,14,11,4
2013,4,15,1,1
2013,4,16,1,1
2013,4,17,5,2
2014,1,3,6,2
2014,1,5,4,2
2014,1,7,7,3
2014,1,9,7,3
2014,1,10,2,1
2014,1,13,5,2
2014,1,14,13,5
2014,1,15,3,1
2014,1,17,3,1
2014,2,3,3,1
2014,2,4,9,3
2014,2,5,5,2
2014,2,7,3,1
2014,2,9,18,6
2014,2,10,2,1
2014,2,13,8,3
2014,2,14,11,4
2014,2,15,2,1
2014,2,16,6,2
2014,2,17,2,1
2014,3,3,7,3
2014,3,4,4,2
2014,3,5,14,5
2014,3,7,1,1
