theta,U,V,name,n,s,succes_rate
0.03631977677112588,1,1,beta_1_1,39,1,0.02564102564102564
0.09110251412575676,2,1,beta_2_1,17,1,0.058823529411764705
0.13041882986763695,3,1,beta_3_1,33,4,0.12121212121212122
0.18038984443967693,4,1,beta_4_1,45,5,0.1111111111111111
0.0839220221664133,5,1,beta_5_1,12,0,0
0.28161444445784317,6,1,beta_6_1,21,8,0.38095238095238093
0.17648248970742927,7,1,beta_7_1,92,17,0.18478260869565216
0.3457880156496692,8,1,beta_8_1,72,26,0.3611111111111111
0.03617309077814185,1,2,beta_1_2,43,1,0.023255813953488372
0.09003047142919088,2,2,beta_2_2,31,2,0.06451612903225806
0.13963515339654772,3,2,beta_3_2,33,5,0.15151515151515152
0.21514079486428245,4,2,beta_4_2,47,9,0.19148936170212766
0.08880343040148451,5,2,beta_5_2,28,2,0.07142857142857142
0.2633158435075699,6,2,beta_6_2,60,17,0.2833333333333333
0.21066558934177804,7,2,beta_7_2,63,16,0.25396825396825395
0.2631301255029518,8,2,beta_8_2,169,42,0.2485207100591716
0.04288454556261046,1,3,beta_1_3,103,6,0.05825242718446602
0.10779162058021205,2,3,beta_2_3,105,13,0.12380952380952381
0.1301893518239681,3,3,beta_3_3,54,7,0.12962962962962962
0.20387011641080766,4,3,beta_4_3,95,18,0.18947368421052632
0.09168968059865046,5,3,beta_5_3,126,12,0.09523809523809523
0.22268060755886887,6,3,beta_6_3,244,54,0.22131147540983606
0.12634846723393262,7,3,beta_7_3,107,11,0.102803738317757
0.2965652259440938,8,3,beta_8_3,316,93,0.29430379746835444
0.06593928634726717,1,4,beta_1_4,15,1,0.06666666666666667
0.16402052887786386,2,4,beta_2_4,10,2,0.2
0.17388230365868787,3,4,beta_3_4,20,1,0.05
0.47842511915457175,4,4,beta_4_4,46,27,0.5869565217391305
0.14337614813932453,5,4,beta_5_4,12,1,0.08333333333333333
0.3395627344058163,6,4,beta_6_4,23,7,0.30434782608695654
0.2145959403571148,7,4,beta_7_4,53,9,0.16981132075471697
0.459195390626195,8,4,beta_8_4,228,105,0.4605263157894737
0.1427920395986783,1,5,beta_1_5,27,3,0.1111111111111111
0.3261411666727417,2,5,beta_2_5,31,10,0.3225806451612903
0.45778188748058934,3,5,beta_3_5,12,7,0.5833333333333334
0.6087496528107688,4,5,beta_4_5,28,18,0.6428571428571429
0.3654088722041959,5,5,beta_5_5,66,26,0.3939393939393939
0.5391490410479362,6,5,beta_6_5,89,46,0.5168539325842697
