Size,Male,English,Adult,NUST,Arrival,Affiliate,Employed,U,V,y,Simulated_V,Optimal_V,theta,theta_original,Simulated_Y,Successful_match
1,1,1,1,0,2012-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,1,2020-08-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,1,2020-07-01,55,0,8,17,1,17,17,0.32702159318874013,0.32702159318874013,1,0
1,1,1,1,0,2020-03-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2020-03-01,39,0,8,10,0,10,10,0.6278996485764445,0.6278996485764445,0,0
1,1,1,1,0,2020-09-01,55,0,8,17,0,17,17,0.32702159318874013,0.32702159318874013,0,0
1,1,0,1,0,2020-09-01,55,0,6,17,0,17,17,0.27193613082881435,0.27193613082881435,0,0
1,1,1,1,0,2012-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-06-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2016-06-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2012-12-01,6,1,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2014-03-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-03-01,13,1,8,5,1,5,5,0.7352848527029117,0.7352848527029117,1,0
1,1,1,1,0,2019-12-01,6,1,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,1,1,1,0,2020-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2019-07-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2017-10-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2016-12-01,39,1,8,10,1,10,10,0.6278996485764445,0.6278996485764445,1,0
1,1,1,1,0,2019-03-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2016-12-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,1,2019-09-01,8,0,8,4,0,16,4,0.459195390626195,0.459195390626195,1,1
1,1,1,1,0,2014-03-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-07-01,6,0,8,3,1,3,3,0.2965652259440938,0.2965652259440938,1,0
1,0,1,1,0,2013-12-01,8,0,7,4,0,4,4,0.2145959403571148,0.2145959403571148,0,0
1,1,1,1,0,2014-01-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-07-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2016-12-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2020-07-01,46,0,8,14,1,14,14,0.63129384061307,0.63129384061307,1,0
1,1,0,0,0,2013-11-01,3,1,2,2,0,2,2,0.09003047142919088,0.09003047142919088,0,0
1,1,1,1,1,2014-02-01,46,0,8,14,0,13,14,0.63129384061307,0.63129384061307,0,1
1,1,1,1,0,2014-03-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-03-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,1,0,2016-12-01,8,1,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,0,0,2014-09-01,8,1,4,4,1,4,4,0.47842511915457175,0.47842511915457175,1,0
1,1,1,1,0,2014-07-01,6,0,8,3,0,3,3,0.2965652259440938,0.2965652259440938,0,0
1,1,1,0,0,2014-07-01,3,1,4,2,0,2,2,0.21514079486428245,0.21514079486428245,0,0
1,1,1,1,0,2014-07-01,30,1,8,9,0,9,9,0.779371133417259,0.779371133417259,0,0
1,1,1,1,0,2014-08-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.459195390626195,0.459195390626195,1,0
1,1,1,1,0,2014-05-01,8,0,8,4,0,4,4,0.459195390626195,0.459195390626195,0,0
1,1,1,1,0,2014-08-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,1,1,1,0,2014-05-01,3,0,8,2,0,2,2,0.2631301255029518,0.2631301255029518,0,0
1,0,1,1,0,2014-07-01,46,0,7,14,1,14,14,0.42587282805266985,0.42587282805266985,1,0
